GradStreet 2019,,,,,,,,
MANUAL PACKING GUIDE v1,,,,,,,,
,,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
38,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
39,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
40,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
41,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
42,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
43,18,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 104",ALL YEAR TAGS,UBC0171S48T01040000K01,X0022NEDSJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
43,7,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 006",ALL YEAR TAGS,UBC0171S51T00060000K01,X0022OD59L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
44,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 006",ALL YEAR TAGS,UBC0171S51T00060000K01,X0022OD59L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
45,13,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 006",ALL YEAR TAGS,UBC0171S51T00060000K01,X0022OD59L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
45,12,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,UBC0171S51T00170000K01,X0022OD6AJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
46,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,UBC0171S51T00170000K01,X0022OD6AJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
47,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,UBC0171S51T00170000K01,X0022OD6AJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
48,10,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017",ALL YEAR TAGS,UBC0171S51T00170000K01,X0022OD6AJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
48,15,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S51T00170310K01,X0022R2CC9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
49,21,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S51T00170310K01,X0022R2CC9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
49,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,UBC0171S51T00190000K01,X0022OD3LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
50,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,UBC0171S51T00190000K01,X0022OD3LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
51,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,UBC0171S51T00190000K01,X0022OD3LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
52,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,UBC0171S51T00190000K01,X0022OD3LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
53,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,UBC0171S51T00190000K01,X0022OD3LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
54,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 019",ALL YEAR TAGS,UBC0171S51T00190000K01,X0022OD3LV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
54,21,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S51T00250190K01,X0022OD5N7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
55,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S51T00250190K01,X0022OD5N7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
56,17,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S51T00250190K01,X0022OD5N7,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
56,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171S51T01040000K01,X0022P8KGD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
57,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171S51T01040000K01,X0022P8KGD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
58,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171S51T01040000K01,X0022P8KGD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
59,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171S51T01040000K01,X0022P8KGD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
60,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171S51T01040000K01,X0022P8KGD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
61,17,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 51","Tassel, color 104",ALL YEAR TAGS,UBC0171S51T01040000K01,X0022P8KGD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
61,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 006",ALL YEAR TAGS,UBC0171S54T00060000K01,X0022OD6A9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
62,17,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 006",ALL YEAR TAGS,UBC0171S54T00060000K01,X0022OD6A9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
62,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017",ALL YEAR TAGS,UBC0171S54T00170000K01,X0022OD5NR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
63,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017",ALL YEAR TAGS,UBC0171S54T00170000K01,X0022OD5NR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
64,7,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017",ALL YEAR TAGS,UBC0171S54T00170000K01,X0022OD5NR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
64,18,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S54T00170310K01,X0022OD59B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
65,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S54T00170310K01,X0022OD59B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
65,23,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 019",ALL YEAR TAGS,UBC0171S54T00190000K01,X0022S1TEP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
66,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 019",ALL YEAR TAGS,UBC0171S54T00190000K01,X0022S1TEP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
67,12,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 019",ALL YEAR TAGS,UBC0171S54T00190000K01,X0022S1TEP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
67,13,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S54T00250190K01,X0022S1UNZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
68,22,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S54T00250190K01,X0022S1UNZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
68,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,UBC0171S54T01040000K01,X0022P8EAF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
69,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,UBC0171S54T01040000K01,X0022P8EAF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
70,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,UBC0171S54T01040000K01,X0022P8EAF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
71,17,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 54","Tassel, color 104",ALL YEAR TAGS,UBC0171S54T01040000K01,X0022P8EAF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
71,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 017",ALL YEAR TAGS,UBC0171S57T00170000K01,X0022P8KGN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
71,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 019",ALL YEAR TAGS,UBC0171S57T00190000K01,X0022Q71C1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
71,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 57","Tassel, color 104",ALL YEAR TAGS,UBC0171S57T01040000K01,X0022NEA3H,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
