AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
6,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 017",ALL YEAR TAGS,,UBC0171S39T00170000K01,X0022NEDS9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",37
3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S39T00170310K01,X0022Q7743,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",38
9,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 019",ALL YEAR TAGS,,UBC0171S39T00190000K01,X0022S1UOT,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",39
6,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S39T00250190K01,X0022P8J0F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",40
11,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 104",ALL YEAR TAGS,,UBC0171S39T01040000K01,X0022P8J0Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",41
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 006",ALL YEAR TAGS,,UBC0171S42T00060000K01,X0022NE9LZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",42
12,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 017",ALL YEAR TAGS,,UBC0171S42T00170000K01,X0022S1TD1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",43
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S42T00170310K01,X0022Q774D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",44
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 019",ALL YEAR TAGS,,UBC0171S42T00190000K01,X0022P8HWF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",45
11,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S42T00250190K01,X0022P881Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",46
