GradStreet 2019 Manufacturing Order:,,,,,,,,
PACKING GUIDE v8,,,,,,,,
"Shaoxing Phoebee Garment Co., Ltd.",,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
8,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 54","Tassel, color 104",ALL YEAR TAGS,UBC0171F54T01040000K01,X0022NEDC5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 006",ALL YEAR TAGS,UBC0171F57T00060000K01,X0022P8K8B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 017",ALL YEAR TAGS,UBC0171F57T00170000K01,X0022OD2XF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 017+031",ALL YEAR TAGS,UBC0171F57T00170310K01,X0022OD5MD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 019",ALL YEAR TAGS,UBC0171F57T00190000K01,X0022P8KFJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 025+019",ALL YEAR TAGS,UBC0171F57T00250190K01,X0022Q73UB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 57","Tassel, color 104",ALL YEAR TAGS,UBC0171F57T01040000K01,X0022Q72CZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 60","Tassel, color 019",ALL YEAR TAGS,UBC0171F60T00190000K01,X0022NED75,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 60","Tassel, color 104",ALL YEAR TAGS,UBC0171F60T01040000K01,X0022OD5MN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full fit, size 63","Tassel, color 104",ALL YEAR TAGS,UBC0171F63T01040000K01,X0022OD68V,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
,,,,,,,,
9,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 006",ALL YEAR TAGS,UBC0171S39T00060000K01,X0022R2VH5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,6,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 017",ALL YEAR TAGS,UBC0171S39T00170000K01,X0022NEDS9,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S39T00170310K01,X0022Q7743,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 019",ALL YEAR TAGS,UBC0171S39T00190000K01,X0022S1UOT,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
10,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 019",ALL YEAR TAGS,UBC0171S39T00190000K01,X0022S1UOT,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
10,6,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S39T00250190K01,X0022P8J0F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
10,11,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 39","Tassel, color 104",ALL YEAR TAGS,UBC0171S39T01040000K01,X0022P8J0Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
10,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 006",ALL YEAR TAGS,UBC0171S42T00060000K01,X0022NE9LZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
11,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 006",ALL YEAR TAGS,UBC0171S42T00060000K01,X0022NE9LZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
